title,time,summary,details,keywords
Coronavirus panic spreads as 2 of a family die from fever in Munshiganj,27 January 2020 09:45 PM,"A woman and her nephew have died from fever within 16 hours of each other in Munshiganj's Louhajang Upazila, sparking fears of an outbreak of a novel coronavirus which originated in China.","But health officials have preliminarily ruled out the deadly virus as the cause of their deaths, according to the district's Civil Surgeon Dr Abul Kalam Azam. A probe panel has been formed to look into the matter. It came after Mir Abdur Rahman, a 3-year-old boy from the Upazila's Jasaldia village, died an hour after being struck by a fever in the early hours of Monday. His aunt Shamima Begum, 34, died in similar at 8 am on Sunday. According to Shamima's brother-in-law Mir Shiblu, she had been feeling feverish on the morning of her death. The fever gradually intensified and blood clots began appearing on different parts of her body before she died. Abdur began showing the same symptoms shortly after contracting a fever at night, said Shiblu. Although Shamima had been buried without an autopsy, the family took Abdur to the Upazila Health Complex for a check-up. Later, a medical team and officials from the local administration along with a representative of the World Health Organisation visited the village for an inspection on Monday. After the outbreak of the coronavirus in China's Wuhan, authorities have stepped up precautionary measures at airports in Bangladesh with travellers from China being screened on arrival, said Civil Surgeon Abul. Bangladesh is yet to confirm any case of the virus. ""None of their family members have gone or returned from abroad in the last 14 days. Therefore, the initial belief is that their deaths were not caused by the coronavirus. Besides, their deaths can't be attributed to the Nipah virus either as no one in the family consumed any date juice recently."" The total number of confirmed cases of the virus in China has risen to 2,744, about half of them in Hubei province, whose capital is Wuhan – the epicentre of the outbreak. As worries grew around the world, Chinese-ruled Hong Kong, which has had eight confirmed cases, banned entry to people who had visited Hubei in the past 14 days. The ban did not cover Hong Kong residents. The number of deaths from the flu-like virus in Hubei climbed to 76 from 56, health officials said, with five deaths elsewhere in China, including the southern island province of Hainan, which reported its first fatality on Monday. While a small number of cases have been confirmed in more than 10 countries, linked to people who travelled from Wuhan, no deaths have been reported elsewhere.",Bangladesh
"Chinese national hospitalised in Dhaka with cold, fever amid coronavirus scare",27 January 2020 10:44 PM,A Chinese national has been hospitalised with a cold and fever in Dhaka amid growing fears over an outbreak of a novel coronavirus which has originated in China.,"The health directorate has decided to run tests on him as a precaution after confirming the development on Monday. Since its outbreak in Wuhan, the death toll from the virus in China has risen to 81, prompting countries around the world to step up preventative measures. Airports in Bangladesh have also installed thermal scanners alongside other screening measures for travellers from China in a bid to prevent the virus from spreading. According to health experts, the symptoms of the coronavirus virus infection -- which can cause pneumonia in some cases -- include fever, coughing and difficulty with breathing. Aside from undergoing thermal screenings for fever, travellers from China are also being given health cards and asked to contact the Institute of Epidemiology, Disease Control and Research or IEDCR if they have fever within 14 days from arrival. But as on Sunday, the IEDCR did not detect the presence of the virus in any of the over 2,000 people they have tested. Meerjady Sabrina Flora, a director at the IEDCR, however, would not be drawn to comment on the hospitalisation of the Chinese national. ""The hospital has informed us of the matter. If we believe that it is necessary to run tests on the sample then we will do so."" The total number of confirmed cases of the virus in China has risen to 2,744, about half of them in Hubei province, whose capital is Wuhan – the epicentre of the outbreak. While a small number of cases have been confirmed in more than 10 countries, linked to people who travelled from Wuhan, no deaths have been reported elsewhere. Bangladesh is yet to confirm any case of the virus.",Bangladesh
"Lockdown obstructs evacuation of Bangladeshis from Wuhan, says Momen",28 January 2020 04:15 PM,"Bangladeshi expatriates in Wuhan, the epicentre of coronavirus outbreak, cannot be brought back at this time due to a lockdown imposed by China, despite preparations taken by Bangladesh, said Foreign Minister AK Abdul Momen.","“About 500 of our students live in Wuhan. Prime Minister Sheikh Hasina has ordered arrangements for anyone willing to return,” Minister Momen told reporters at the end of a programme in Dhaka on Tuesday. “We made plans for their return but China told us that no one would be allowed to leave the area for the next two weeks or a minimum of 14 days.” “China has imposed a complete lockdown. The authorities took the residents somewhere to shop and then brought them back.” The health commission of China's Hubei province said on Tuesday that about 100 people had died from the virus as of Jan 27, according to an online statement, up from the previous toll of 76, with the number of confirmed cases in the province rose to 2,714. Global stocks fell, oil prices hit three-month lows, and China's yuan dipped to its weakest level in 2020 as investors fretted about damage to the world's second-biggest economy from travel bans and the Lunar New Year holiday, which China extended in a bid to keep people at home. “Constant discussions” are being held with 245 Bangladeshis through an open ‘webpage’ created for Bangladeshi students and researchers in Wuhan, Momen said. Urging everyone to stay alert while travelling to China, he said Bangladesh is monitoring those arriving in the country from China and its neighbouring countries. “We will monitor everyone arriving from those areas. We will record their details, including names and addresses, so that we can identify the cause if anything happens.”",Bangladesh
Bangladesh not sending experts to China amid coronavirus outbreak,29 January 2020 12:46 AM,"The government has no interest in sending any expert to China to study the coronavirus outbreak, the health minister has said.","Zahid Maleque was discussing the government’s preparations to tackle the situation with reporters at the Secretariat in Dhaka on Tuesday as the new virus claimed more than 100 lives in China in around three weeks. As the flu-like virus has spread to many countries, the authorities in Bangladesh are screening passengers from China at airports to stop the spread of the disease. A reporter asked whether the government was planning to send anyone to China to learn how the country was dealing with the outbreak after an inter-ministerial meeting on awareness and efforts on the contagious virus. Most of the media workers and those attending the meeting broke into laughter at the time as the government is often criticised for spending millions of takas to send officials abroad so that they can gain practical experience. “We don’t feel the need for sending any team of experts at this moment. We will consider it in future if necessary,” came the health minister’s response. Government officials or public university teachers’ foreign tours have made headlines a number of times as they have travelled abroad spending millions of takas from the national exchequer for reasons like mastering the skills of digging pond, or purchasing things like elevators or increasing project capabilities.","Government officials, foreign trip, China coronavirus, health minister, Zahid Maleque"
35 Chinese workers on Padma Bridge project under observation amid coronavirus scare,29 January 2020 02:54 PM,"The government is keeping a close watch on 35 Chinese nationals working on the Padma Bridge project as part of its efforts to prevent the spread of a deadly coronavirus which has originated in China, Road Transport Minister Obaidul Quader has said.","The Chinese workers all returned from leave after Jan 18 amid the outbreak of the virus which has killed over 130 people in China so far. Speaking to reporters at the Secretariat on Wednesday, Quader said, “Around 1,000 Chinese workers are working on the project. Among them, 150 workers are on shifting leave but this doesn’t affect the work on the bridge.” “Those who’ve come back after Jan 18 are being kept away from work. We are keeping a watch on them and have taken precautionary steps.” Chinese contractor China Railway Major Bridge Engineer Group is primarily overseeing the construction of the Padma Bridge. Sinohydro Corporation, another Chinese firm, is conducting the river training work for the project.",Bangladesh
DGHS orders list of all China returnees in last 14 days amid virus fears,30 January 2020 10:46 AM,The Directorate General of Health Services has directed local authorities to draw up a list of all returnees from China in the last 14 days amid the outbreak of a fatal coronavirus.,"Deputy commissioners, police superintendents and civil surgeons have been asked to prepare the list in their respective districts, the Institute of Epidemiology, Disease Control and Research or IEDCR said in a statement on Wednesday. The decision was taken at a meeting of the DGHS headed by its Director General Prof Abul Kalam Azad on Tuesday, the statement said. The authority also briefed the Association of Travel Agents of Bangladesh and  Federation of Bangladesh Chamber of Commerce on travel to China. Airport authorities have not identify any case of the virus in Bangladesh after screening 3,348 passengers as of Wednesday, according to the IEDCR statement said. The IEDCR received 53 calls on its hotline as of now – nine of which were related to the coronavirus. No case of the coronavirus infection has been diagnosed so far.",Bangladesh
Special flight to evacuate 361 Bangladeshis from China's Wuhan amid deadly coronavirus outbreak,31 January 2020 01:49 PM,"A special flight is set to bring back 361 Bangladeshi nationals from the Chinese city of Wuhan, the epicentre of a deadly coronavirus outbreak.","They will arrive in Dhaka on Friday night and will then be kept under 14-day observation at the Ashkona Hajj Camp. Police and army personnel will be deployed to the camp for security.Health Minister Zahid Malik has called on families of the returnees to remain patient and resist the urge to meet their loved ones during the observation period.The government will provide updates on the situation from time to time, according to the minister.He was addressing a media briefing on the government's plans to evacuate citizens stranded in Wuhan alongside Foreign Minister AK Abdul Momen and State Minister for Disaster Management and Relief Dr Md Enamur Rahman at Dhaka's Hazrat Shahjalal International Airport on Friday.During the observation period, those who will not show symptoms of the infection will be allowed to return home while those who fall sick will be admitted to the hospital for proper medical treatment, said Zahid.A Biman Bangladesh Airlines flight will leave Dhaka for China on Friday evening, he added, without specifying when it will land in Wuhan.Addressing the families of the returnees, the minister said: “Please don’t be restless to meet them. We’ll provide information about them from time to time. We have made the necessary arrangements for that.""“We’re completely ready to bring back our students. They are the citizens of this country and it is our duty to look after them. At the same time, it is our duty to ensure that they don’t spread the infection in case they’re already infected. We’ve taken necessary precautions to ensure our country and its people remain safe.”The returnees include 19 families, 18 children and two infants, according to the foreign minister. “We’re completely ready to bring back our students. They are citizens of this country and it is our duty to look after them. At the same time, it is our duty to ensure that they don’t spread any infection in case they’re already infected. We’ve taken necessary precautions to ensure our country and its people remain safe,” said Momen. “We need to handle them sensitively and keep them quarantined. Their families should not meet them. We’re not aware if anyone among them is sick. A vaccine for the virus is yet to be developed,” he added. Although Bangladesh has not stopped flights to China, Momen nevertheless discouraged people from travelling to China for the time being.",Bangladesh
Bangladesh evacuees head to Wuhan airport as China virus death toll mounts,31 January 2020 06:38 PM,The authorities have started moving the Bangladeshi students in Wuhan to the airport in the Chinese city for evacuation from the locked down epicentre of a deadly coronavirus outbreak.,"A Biman Bangladesh plane left the Dhaka airport about 5:45pm on Friday to bring them back. A total of 361 Bangladeshis, including 19 families, 18 children and two infants, registered for the evacuation, Foreign Minister AK Abdul Momen said earlier. Reza Sultanuzzaman, a Bangladeshi researcher in China who was involved with making the list of the returnees, said the Bangladeshi students of 21 universities in Wuhan were returning home. They had already started for Tianhe International Airport by bus, he said in the afternoon local time. The evacuation flight is scheduled to start for Bangladesh at midnight (10pm Bangladesh time), Sultanuzzaman said. Bangladeshi students wait to leave the Hubei University of Technology in Wuhan for Tianhe International Airport for evacuation amid a coronavirus outbreak. Photo: Mehedi Hasan The United States and other countries tightened travel curbs while businesses said they were facing supply problems because of the coronavirus in China on Friday, a day after the World Health Organisation declared a global health emergency. With the death toll rising to 213, all of them in China, Singapore banned entry to all Chinese visitors and foreigners with a recent history of travel to China in some of the most far-reaching moves worldwide to deter the fast-spreading virus. The Bangladeshi evacuees will be kept under observation for 14 days – the incubation period of the virus - at the Ashkona Hajj Camp near the airport. Police and army personnel will be deployed to secure the camp. A bus carrying Bangladeshi students leave the Hubei University of Technology in Wuhan for Tianhe International Airport for evacuation amid a coronavirus outbreak. Photo: Mehedi Hasan “The camp has been quarantined to keep the returnees under watch. If someone shows the symptoms, he or she will be hospitalised,” he said. The symptoms of coronavirus infection include fever, coughing and difficulty with breathing, Mushtuq advised all to regularly wash hands with soap and maintain hygiene to prevent contacting the virus. Anyone suspecting to be infected by the virus can call national emergency helpline 999. “Such patients should not visit hospitals themselves. We will send people to record the patients’ history, if necessary,” he added. The plane to China is carrying surgical and N95 masks, gloves, disposable gowns, hand sanitizer, caps and shoe covers, among other things, for the evacuees, crew members and health workers, according to Mushtuq.[Additional Reporting by bdnews24.com China Correspondent Saiyedul Islam, Staff Correspondent Masum Billah and Staff Correspondent Golam Mujtaba Dhruba]","Coronavirus outbreak, Biman Bangladesh Airlines, Wuhan evacuation, Hubei University of Technology"
Bangladesh evacuating over 300 nationals from Wuhan amid coronavirus outbreak,01 February 2020 03:38 AM,"Bangladesh is bringing home more than 300 of its nationals from Wuhan, the locked down epicentre of a coronavirus outbreak that has claimed more than 200 lives in China and set off a global health emergency.","A Biman Bangladesh Airlines plane reached Tianhe International Airport in the Chinese city around 9pm local time on Friday for the evacuation. The authorities earlier in the afternoon moved the Bangladeshi students by bus to the airport where they underwent tests before boarding the plane. A total of 361 Bangladeshis, including 19 families, 18 children and two infants, registered for the evacuation, Foreign Minister AK Abdul Momen said earlier. Masked Bangladeshis entering Tianhe International Airport in the Chinese city of Wuhan on Friday for evacuation from the epicentre of a deadly coronavirus outbreak. They were expected to arrive at Shahjalal International Airport in the wee hours of Saturday, but the jet did not take off until 2:30am. They had undergone three rounds of medical tests by the time, Sultanuzzaman said. Masked Bangladeshis entering Tianhe International Airport in the Chinese city of Wuhan on Friday for evacuation from the epicentre of a deadly coronavirus outbreak. The Institute of Epidemiology, Disease Control and Research or IEDCR is consulting Mushtuq Husain, who has recently retired as its chief scientific officer, to deal with the evacuation and isolation of the Bangladeshis. The plane to China is carrying surgical and N95 masks, gloves, disposable gowns, hand sanitizer, caps and shoe covers, among other things, for the evacuees, crew members and health workers, according to Mushtuq. Bangladeshis wareing protective masks getting off a bus at Tianhe International Airport in the Chinese city of Wuhan on Friday for evacuation from the epicentre of a deadly coronavirus outbreak. “The camp has been quarantined to keep the returnees under watch. If someone shows the symptoms, he or she will be hospitalised,” he said. The symptoms of coronavirus infection include fever, coughing and difficulty with breathing, Mushtuq advised all to regularly wash hands with soap and maintain hygiene to prevent contracting the virus. Masked Bangladeshis entering Tianhe International Airport in the Chinese city of Wuhan on Friday for evacuation from the epicentre of a deadly coronavirus outbreak. “Such patients should not visit hospitals themselves. We will send people to record the patients’ history, if necessary,” he added. [Additional reporting by bdnews24.com China Correspondent Saiyedul Islam, Staff Correspondent Masum Billah and Staff Correspondent Golam Mujtaba Dhruba]",Bangladesh
Bangladeshi nationals flying home from Wuhan amid coronavirus outbreak,01 February 2020 10:43 AM,"Over 300 Bangladeshi nationals are on their way back home onboard a special flight from the Chinese city of Wuhan, the locked down epicentre of a deadly coronavirus outbreak that has claimed more than 200 lives in the country.","The rescue flight of Biman Bangladesh took off at 7.45 am Dhaka time on Saturday from Wuhan Tianhe International Airport. Earlier on Friday, the authorities began moving the Bangladeshi students by bus to the airport where they underwent tests before boarding the plane. Biman's DGM for public relations Tahera Khondoker said a total of 316 passengers, including 15 children, are flying back to Dhaka. The flight is also carrying four doctors, four cockpit and 11 cabin crew. But Dr Reza Sultanuzzaman, a Bangladeshi researcher in China, who was involved in making the list of returnees, said two people did not travel with the rest due to problems with their paperwork. The passengers went through temperature and health screening more than once as they waited in the airport, said Dr Reza. The number of deaths from a coronavirus epidemic in China rose by 46 to 259 on Friday, the country's health authority said, as the United States announced new border curbs on foreign nationals who have been in China. Amid fears that the virus could spread further overseas, the United States announced measures to restrict entry to foreign nationals who have recently been in China. All three major US airlines also said on Friday they would cancel flights to mainland China. Cities across China continue to implement special measures aimed at curbing the spread of the pathogen. Tianjin, a city in northern China with around 15 million people, said all schools and businesses would be suspended until further notice. The US-based China Human Rights Defenders urged the Chinese government to ease restrictions on movement and counter discrimination against residents of Wuhan and Hubei, adding that censorship had contributed to the spread of the virus. Bangladeshis waiting to board a special flight at Tianhe International Airport in the Chinese city of Wuhan on Friday for evacuation from the epicentre of a deadly coronavirus outbreak. The Bangladeshi evacuees will be kept under observation for 14 days – the incubation period of the virus - at the Ashkona Hajj Camp near the airport, said Health Minister Zahid Malik. Police and army personnel will be deployed to secure the camp, he said. He urged the families of the returnees to remain patient and avoid contact with their loved ones during the quarantine. The Institute of Epidemiology, Disease Control and Research or IEDCR is consulting Dr Mushtuq Husain, who has recently retired as its chief scientific officer, to deal with the evacuation and isolation of the Bangladeshis. He visited the Ashkona camp on Saturday morning. Masked Bangladeshis entering Tianhe International Airport in the Chinese city of Wuhan on Friday for evacuation from the epicentre of a deadly coronavirus outbreak. He advised citizens to regularly wash hands with soap and maintain hygiene to prevent contracting the virus. Anyone suspecting an infection by the virus can call national emergency helpline 999. “Such patients should not visit hospitals themselves. We will send people to record the patients’ history, if necessary,” he added.",Bangladesh
314 Bangladeshis return from coronavirus-ravaged Wuhan,01 February 2020 12:26 PM,"A Biman aircraft carrying more than 300 Bangladeshi nationals from the Chinese city of Wuhan, the locked down epicentre of a deadly coronavirus outbreak, has arrived in Dhaka.","The Biman flight took off at 7.45am Dhaka time on Saturday from Wuhan Tianhe International Airport. The number of deaths from a coronavirus epidemic in China rose by 46 to 259, the country's health authority said, as the United States announced new border curbs on foreign nationals who have been in China. Police and army personnel will be deployed to secure the camp.",Bangladesh
Seven Bangladeshis hospitalised with fever on arrival from Wuhan amid coronavirus outbreak,01 February 2020 01:34 PM,"The authorities have put in hospitals in Dhaka eight of the 312 Bangladeshis evacuated from the Chinese city of Wuhan, the locked down epicentre of a deadly coronavirus outbreak that has sparked a global health emergency.","A special flight of Biman Bangladesh Airlines ferrying the evacuees arrived at Shahjalal International Airport sometime after 11:50am on Saturday, said Tahera Khandaker, a spokeswoman for the flag carrier. The eight passengers were sent to two hospitals after health workers detected fever, Shahriar Sazzad, a health officer at the Dhaka airport, said. The rest of the evacuees were taken to the Ashkona Hajj Camp, where they will be quarantined for 14 days, the incubation period of the new virus. Police and army personnel have been deployed to secure the camp. Health Minister Zahid Maleque had earlier urged the families to wait for sometime to see their loved ones. Initially, 361 Bangladeshis had registered to return from Wuhan but 316 reported at Tianhe International Airport and four of them were barred as their body temperature was high, Azad said. The coronavirus epidemic has killed 259 people, all in China, until Saturday, according to the country's National Health Commission. Additionally, 137 cases have been reported in other countries and regions. Infections have been reported in Australia, Britain, France, Germany, Hong Kong, Japan, Russia, Spain, Thailand, the United States and 14 other countries and regions outside mainland China. No deaths have been reported outside China.",Bangladesh
