title,time,summary,details
"Eight China returnees test negative for coronavirus, says IEDCR",03 February 2020 05:43 PM,Eight of the 312 Bangladeshis evacuated from the Chinese city of Wuhan have tested negative for the coronavirus.,"Prof Dr Meerjady Sabrina Flora, the director of Institute of Epidemiology, Disease Control and Research, confirmed the matter on Monday. “I received the test results yesterday. Nobody was found to be infected with the virus,” said Dr Flora. “Those who were staying at Kurmitola General Hospital were sent to Ashkona Hajj camp last night. However, one was sent back to Kurmitola for monitoring after he was found to have a high body temperature.” The other China returnee at the Combined Military Hospital is being kept there as she is pregnant, said Flora. A total of 312 Bangladeshis were brought back to Dhaka from the Chinese city of Wuhan, the locked down epicentre of a deadly coronavirus outbreak that has sparked a global health emergency. Eight of the returnees were found to have high body temperatures. Of them, seven were sent to Kurmitola General Hospital and one to Combined Military Hospital. Bangladesh has screened 5,631 China returnees until Sunday, said IEDCR. A total of 34 coronavirus suspects have tested negative for the virus."
Mask prices surge in Bangladesh amid coronavirus scare,04 February 2020 12:02 AM,Traders have hiked the price of face masks amid mounting fears in Bangladesh over a deadly coronavirus which has originated in China and killed over 360 people so far.,"A surge in demand triggering a shortage of mask stocks has driven up the price, according to them. Although the majority of face masks in the Bangladeshi market come from China, many, including Chinese nationals, are stocking up on the product to send it back to the virus-hit country, say wholesalers.    Bangladesh is yet to diagnose a case of the infection despite running tests on Chinese nationals living in the country as well as the 312 Bangladeshis who have recently returned from the coronavirus epicentre Wuhan.  Customers buying protective masks at a store in the Bangladesh Medical Association building in Dhaka on Sunday amid the outbreak of a novel coronavirus in China. Photo: Asif Mahmud Ove  On Monday, customers scrambed to buy masks at the majority of medical equipment stores at the BMA building in Dhaka's Topkhana. Raqibul Hassan bought five packets of 50 masks each from a shop in the market ahead of his return to China for work amid the outbreak. Prices are quite steep now, he told bdnews24.com.    A packet of 50 disposable masks is currently selling for Tk 480, said Raqibul. ""Masks which cost between Tk 1 and 5 are now priced at Tk 10-11.""  Children wearing masks to prevent catching a deadly coronavirus which has spread to 27 countries across the world after breaking out in China. Photo: Asif Mahmud Ove  ""PM 2.5 masks used to cost between Tk 18 and 20. They're now selling for Tk 50 to 60,"" he said. On the reasons behind the price hike, Iliyas explained, ""Many have bought masks with the aim of sending them to China while others are stocking up on them. Prices have shot up as a result."""
SARS stung the global economy. The coronavirus is a greater menace,05 February 2020 02:59 AM,"In 2002, when a lethal, pneumonialike virus known as SARS emerged in China, the country’s factories were mostly churning out low-cost goods like T-shirts and sneakers for customers around the world.","Seventeen years later, another deadly virus is spreading rapidly through the world’s most populous country. But China has evolved into a principal element of the global economy, making the epidemic a substantially more potent threat to fortunes. International companies that rely on Chinese factories to make their products and depend on Chinese consumers for sales are already warning of costly problems. Apple, Starbucks and Ikea have temporarily closed stores in China. Shopping malls are deserted, threatening sales of Nike sneakers, Under Armour clothing and McDonald’s hamburgers. Factories making cars for General Motors and Toyota are delaying production as they wait for workers to return from the Lunar New Year holiday, which has been extended by the government to halt the spread of the virus. International airlines, including American, Delta, United, Lufthansa and British Airways, have cancelled flights to China. China’s economic growth is expected to slip this year to 5.6%, down from 6.1% last year, according to a conservative forecast from Oxford Economics that is based on the impact of the virus so far. That would, in turn, reduce global economic growth for the year by 0.2%, to an annual rate of 2.3% — the slowest pace since the global financial crisis a decade ago.  People wearing protective masks are seen in an Apple Store, as China is hit by an outbreak of the new coronavirus, in Shanghai, China, January 29, 2020. Reuters  In a sign of deepening concern, China’s leaders on Sunday outlined plans to inject fresh credit into the economy. That will include a net $22 billion to shore up money markets as well as looser borrowing terms for Chinese companies. Though China’s factories still produce a mind-bending array of relatively simple, low-value products like clothing and plastic goods, they have long since achieved dominance in more advanced and lucrative pursuits like smartphones, computers and auto parts. The country has evolved into an essential part of the global supply chain, producing components needed by factories from Mexico to Malaysia. China has also risen into an enormous consumer market, a nation of 1.4 billion people with a growing appetite for electronic gadgets, fashion apparel and trips to Disneyland. The trade war waged by the Trump administration has prompted a partial decoupling of the United States and China, the two largest economies on earth. Multinational companies that have used factories in China to make their wares have sought to avoid American tariffs by shifting production to other countries — especially Vietnam. The coronavirus might accelerate that trend, at least for a time, should global companies find themselves locked out of China. The outbreak of the virus in Wuhan, a city that is home to 11 million people, prompted the Chinese government to effectively quarantine the metropolis and much of surrounding Hubei province, barring people from moving around. Until now, the impact on factories was limited by the fact that the outbreak was unfolding during the Lunar New Year, the most important holiday of the year. Many businesses are closed during the holiday, while hundreds of millions of migrant workers return home to their families in the countryside.  A woman walks through an empty shopping mall in Beijing, Feb 1, 2020. In the nearly 20 years since SARS, China’s importance in the global economy has grown exponentially. (Giulia Marchi/The New York Times)  A frightening epidemic coinciding with a major holiday will almost certainly spell a substantial loss of sales for China’s tourism and hospitality industries. Hotels and restaurants that would normally be full of revelry are empty. Concerts and sporting events have been cancelled. IMAX, the large screen film company based in Toronto, has postponed the release of five films it had intended to showcase in China during the holiday. Even as the holiday officially ends, business is unlikely to return to normal. Many major industrial areas — including Shanghai, Suzhou and Guangdong province — have lengthened the holiday by at least another week, preventing workers from returning. With flights to China limited and emergency public health restrictions in place, the Chinese operations of multinational companies are likely to be constrained. Major banks, including Goldman Sachs and JPMorgan Chase, are directing that employees who have visited mainland China stay home for two weeks. General Motors last year sold more cars in China than in the United States. Its Chinese factories will be closed for at least another week at the request of the government. Ford Motor Co. has told managers in China to work from home while its factories remain idled, said a company spokesman. All of this could play havoc with businesses that depend on China for components, from auto factories in the American Midwest and Mexico to apparel plants in Bangladesh and Turkey. If customers cannot buy what they need from China, Chinese factories could, in turn, slash orders for imported machinery, components and raw material — computer chips from Taiwan and South Korea, copper from Chile and Canada, factory equipment from Germany and Italy. “This could potentially disrupt global supply chains,” said Rohini Malkani, an economist at DBRS Morningstar, a global credit rating business. “It’s too early to say how long it is going to last.” Similar worries accompanied the outbreak of SARS in 2002 and 2003, when the virus emerged in the southern province of Guangdong before spreading across China and around the world, killing nearly 800 people in at least 17 countries. China had just joined the World Trade Organization, gaining access to markets around the globe. It was harnessing its seemingly limitless supply of low-wage workers to produce cheap consumer goods. Its economy centred on exports. Its consumer market remained in its infancy.  A nearly deserted road outside Beijing Capital International Airport, which is usually choked with traffic, in China on Feb 3, 2020. The Chinese capital, like other cities far from the epidemic’s centre, has imposed restrictions and shut down public spaces, straining the ties that bind society. (Giulia Marchi/The New York Times)  Its economic output per person has multiplied to roughly $9,000 last year from about $1,500 in 2003, giving households additional cash for an enormous range of consumer goods. “China today accounts for about one-third of global economic growth, a larger share of global growth than from the US, Europe and Japan combined,” Andy Rothman, an economist at Matthews Asia, an investment fund manager, noted during recent testimony before a congressional panel. The US semiconductor industry is particularly entrenched in China, which is both a major manufacturing hub and a market for its products. Intel’s customers in China accounted for about $20 billion in revenue in 2019, or 28% of its total for the year. Qualcomm, the dominant maker of chips for mobile phones, is even more dependent on China, drawing 47% of its annual revenue — or nearly $12 billion — from sales in the country. No one knows how long the coronavirus outbreak will last, how far it will spread, or how many lives it will claim. It is impossible to calculate the extent to which it will disrupt China’s economy. But China’s formidable stature in the world economy means that the impact of the current outbreak is likely to substantially exceed that of SARS. “The knock-on effects for the global economy are going to be much larger than they were,” said Nicholas R. Lardy, a China expert at the Peterson Institute for International Economics in Washington. For manufacturers, the timing of the outbreak may limit the damage. They just completed the fourth quarter, when production increases to meet demand for the winter holidays. The end of January is typically slow. But the effects of the virus on supply chains, which have grown notoriously complex, are difficult to anticipate. A single part of an advanced product like a smart TV may be made of dozens of smaller components, with each of these assembled from other pieces. Companies themselves often do not know the suppliers that are three and four rungs down the chain. “If you run out of widgets that are essential to production processes and all those widgets come from China, then it may well be that your production lines go to a halt,” said Ben May, global economist at Oxford Economics in London. “These problems are likely to be popping up all over the world.” This became a problem in the aftermath of the 2011 earthquake and tsunami in Japan, which devastated manufacturers. Many companies assumed they were buying parts from a diverse range of suppliers, protecting them from shortages, only to realise that critical components were produced by single plants. If that plays out in China, the consequences are likely to be great. “We’re talking about a potentially vast swath of a country that the whole world depends on as a manufacturing workshop,” said Susan Helper, an economist at Case Western Reserve University and the former chief economist at the Commerce Department. “The effects will be unexpected.” Apple assembles most of its products in China. The company has severely restricted travel in China for its employees, its chief executive officer, Tim Cook, said on an earnings call Tuesday. Apple disclosed much wider volatility in its potential revenues for the current quarter in the face of uncertainties around factory production and sales of its products. Those uncertainties deepened on Saturday. Apple, which derives about one-sixth of its sales from China, announced that it would close its 42 stores in the country. Walmart buys vast volumes of its products from Chinese factories while operating 430 stores in the country, including in areas shut down by quarantine. The company has reduced hours at some stores, a Walmart spokeswoman said. “We may still be in the early stages,” of the coronavirus crisis, Judith McKenna, who runs Walmart’s International business, wrote in an internal memo on Friday. China is the world’s largest toy manufacturer. At the International Toy Fair in Nuremberg, Germany, many Chinese suppliers expressed confidence that their factories would soon reopen, said Rick Woldenberg, chief executive of Learning Resources, a family-owned manufacturer of educational products and toys in Illinois. “But no one’s quite sure how much of this information can be relied upon,” Woldenberg said. Because of the trade war, the toy industry was effectively prepared for a moment in which its access to Chinese suppliers was imperilled, Woldenberg said. In December, when the Trump administration was threatening to impose an additional 15% tariff on Chinese imports, many toy companies sped up their orders to beat the deadline. Some shifted production to Thailand and Vietnam to avoid the tariffs altogether. Toymakers will soon need to rebuild inventory. “If this goes on for four more months, we are talking about a big problem,” said Jim Silver, chief executive of TTPM.com, a consumer research site. After SARS, China suffered several months of economic contraction and then rebounded dramatically. That might happen this time, too. The only certainty is this: Whatever happens in China will be felt widely. “Clearly China has become a much more dominant player in the world economy,” said May of Oxford Economics. “It’s just so much more involved in the global supply chain. Over the last decade, it has been the spender of last resort for the global economy.”  ©2020 The New York Times Company"
"Don’t get misled, panicked by coronavirus rumours on social media: IEDCR director",06 February 2020 04:05 AM,"Rumours about the new coronavirus are spreading on social media in Bangladesh amid a deadly outbreak in China, the chief of the government’s disease control agency has said.","Meerjady Sabrina Flora, the director of the Institute of Epidemiology, Disease Control and Research or IEDCR, has urged the people not to get confused or panicked by the rumours. “Rumours are spreading on social media about many types of treatment. But no specific treatment for the disease is available just yet. So, the people must not get confused or panicked by such publications,” she said while briefing the media at the institute in Dhaka on Wednesday on the steps to reduce the risks of an outbreak.    The institute, the sole provider of the coronavirus test in the country, is also sending samples from the patients to the World Health Organization for confirmation. The authorities brought back 312 Bangladeshis from China’s Wuhan, a city in the epicentre of the outbreak, on Saturday. As many as 11 of the evacuees, including a child with fever and his family members, have been kept at the Combined Military Hospital and three others at the Kurmitola General Hospital for flu-like symptoms that are similar to those of coronavirus, Flora said. The rest of the returnees have been quarantined at Ashkona Hajj Camp."
"Not all need to use face masks, IEDCR says as coronavirus scare drives prices",06 February 2020 07:48 PM,"In the wake of a rise in prices of face masks amid coronavirus scare, the government’s disease control agency says not everyone needs protection as no one from China, hit by a deadly outbreak, has tested positive and the evacuees have been quarantined.","Only sick returnees from China and those taking care of them will need the protective masks, according to the director of the Institute of Epidemiology, Disease Control and Research or IEDCR. “Many are confused about the use of mask. Novel coronavirus has not been found in our country yet. And we have kept the returnees from China in isolation. So not everyone needs to use mask,” Meerjady Sabrina Flora told a news conference on Thursday. “The returnees from China who show symptoms, such as fever, cold or sore throat, will need to use mask. Those taking care of them can also use mask,” she said.  Prof Meerjady Sabrina Flora, the director of IEDCR, giving updates at a media briefing on Wednesday on the health condition of Bangladeshis evacuated from China amid a coronavirus outbreak. Photo: Asif Mahmud Ove  The novel coronavirus, which has spread to dozens more countries outside China, has sparked anxiety among Bangladeshis following a massive outbreak of the mosquito-borne dengue disease across the country last year. Many are using masks on the streets while wholesalers say some Chinese nationals are stocking up on the product to send it back to the virus-hit country. Traders have hiked the price of face masks amid the mounting demand. They are charging up to Tk 500 for a 60-piece box of face masks, up from only Tk 60 weeks ago.  "
"11 China returnees test negative for coronavirus, says IEDCR",07 February 2020 02:33 PM,"Eleven of the 312 Bangladeshis evacuated from the Chinese city of Wuhan, have tested negative for the coronavirus.","Prof Dr Meerjady Sabrina Flora, the director of Institute of Epidemiology, Disease Control and Research, confirmed the matter on Friday. They underwent medical tests after being found to have high body temperatures and are currently in quarantine at the Combined Military Hospital or CMH, said Flora. The novel coronavirus was first detected in China’s Hubei province on Dec 31, 2019. It has since infected 31,143 in China alone before spreading to over 25 countries globally. The Bangladesh government subsequently brought back 312 of its citizens from the locked down city of Wuhan in a special flight on Feb 1. They have since been undergoing quarantine for 14 days, the incubation period for the virus. But the other 301 returnees currently under observation at the Ashkona Hajj Camp are all in good health, said the IEDCR director. The IEDCR has screened 8,396 travellers arriving in Dhaka’s Hazrat Shahjalal International Airport from China as of Friday morning, said Flora. None of them were found to be infected with the virus, she added. “The doctors and cabin crews who returned from China are now undergoing quarantine at their homes. We advised them not to move around for now.”"
Bangladeshi students in Yichang appeal for evacuation amid coronavirus lockdown,07 February 2020 09:29 PM,"A group of Bangladeshi students stuck in Yichang, a city in Hubei province of China, have appealed for evacuation citing a shortage of food and lockdown for a coronavirus outbreak.","As many as 172 Bangladesh nationals studying at the Three Gorges University in the locked down city have been affected by the restrictions, according to some of them. They said they want to return home like the 312 Bangladeshis who had been evacuated from Wuhan, another city some 285 kilometres from Yichang and at the heart of the epidemic. “We are short on food and drinking water. The situation is getting more miserable by the day,” said Abu Saleh, a civil engineering student at the university. He urged the foreign ministry and the Bangladesh Embassy in China to urgently arrange their exit from the city. “We want to return to Bangladesh.” Saleh said they cannot go out of their residential hall as the entire city is under lockdown with public transport, shops, banks and other services suspended for over two weeks. The university has also been shut.  Photo: Faysal Ahmed Anik Photo: Faysal Ahmed Anik  Most of the infections and deaths occurred in Wuhan, from where Bangladesh brought back the 312 nationals on Feb 1. The evacuees are under observation in isolation. Those stranded in Yichang say the nearby cities were in the same state as Wuhan but the media were not giving any importance to the condition of the other cities. “Even the food supplied by the university authorities from the canteen is not enough,” said Dwin Muhammad Priyo, another student of the Three Gorges University.  Photo: Faysal Ahmed Anik Photo: Faysal Ahmed Anik  “Whenever we contact people in Bangladesh, they say a decision to bring us back has been taken and the embassy has been informed. But the embassy officials say they are awaiting a decision from back home. This is confusing. Our only wish now is to return home,” he added. Faisal Ahmed Anik, a mechanical engineering student at the university, said they have holed up in their rooms for 20 days. “Now there is a shortage of food and water. We are getting stuff we require urgently three to four days later,” he said. Anik also said the US, the UK, India, Nepal, Morocco, Afghanistan and Uzbekistan have brought back their nationals from the university. “But we see no such effort for us,” he said. Khairul Bashar, the first secretary at the embassy, denied the allegations against it as well as the students’ claim about a lack of food and water.  Photo: Faysal Ahmed Anik Photo: Faysal Ahmed Anik  “They are ordering rice, lentil, salt, onion to cook themselves at the dormitory. But it takes time. It’s impossible for the university to provide at once whatever the students want in this situation.” Asked why an embassy official left the social media group of the students, Khairul said, “Anyone can enter the group for information and then leave. I see no problem here.” “Would we be able to keep our jobs if we defied (orders from) Dhaka?” he asked, in response to another allegation. After the evacuation from Wuhan, Cabinet Secretary Khandker Anwarul Islam said on Feb 3 that 171 more Bangladeshis were stranded due to the lockdown. The government “wants to bring them back”, but the problem is about who will fly and crew the plane, the secretary had said. “No country is letting in the pilots of the Wuhan flight. There have been discussions on the issue. If we can find a plane to charter, that will be the best option. And in that case Chinese planes will be the first preference,” he had added."
Turkish clothes makers see orders shifting from coronavirus-hit China,07 February 2020 11:20 PM,"Several fashion retailers that manufacture clothing in coronavirus-hit China are in talks with Turkish firms about shifting production to Turkey, two sector officials told Reuters, with one predicting new orders worth up to $2 billion.","An outbreak of the newly-identified coronavirus has killed 637 people in mainland China, where it is believed to have started, prompting many factories to suspend operations until next week or later as authorities try to contain its spread. Polish fashion retailer LPP has said it is in talks with factories in Turkey, Bangladesh and Vietnam as a backup plan if Chinese production delays continue. Turkish manufacturers have in recent years shifted their clothing production up-market as China's dominance grew globally. But the outbreak has sent some European companies back to Turkey, the officials said. ""Purchasing managers and designers can't go to China due to coronavirus worries and travel restrictions. So several well-known brands started discussions for production of new seasonal items in Turkey,"" said Hadi Karasu, head of Turkish Clothing Manufacturers' Association (TGSD). Rising Chinese manufacturing costs and a 36% slide in the value of the Turkish lira in the last two years, on the back of a currency crisis in 2018, has already made Turkey an affordable option, Karasu added. ""As manufacturing costs levelled between China and Turkey, some European firms were (already) considering shifting orders towards here,"" Karasu said. ""China has some $170 billion ready-to-wear exports,"" he added. ""According to our calculations some 1% of orders will (now) be shifting to Turkey initially which could amount to $2 billion."" Turkey exported some $17.7 billion ready-to-wear products last year. Any rise could help the import-heavy economy keep a lid on its current account deficit and hit the government's ambitious 5% economic growth forecast this year. Mustafa Gultepe, head of the Istanbul Apparel Exporters' Association (IHKIB), said the sector has capacity to take on additional orders as both new and existing clients increasingly contact Turkish factories. ""There are clothing retailers asking around for prices and products in Turkey after the coronavirus outbreak,"" Gultepe said. ""I think the impact of the outbreak will continue for 5-6 months...and I think there will be a major shift from China that we will see after May,"" he added."
Bangladesh to screen all inbound travellers amid coronavirus scare,08 February 2020 01:09 PM,Temperature screening measures at airports and other ports of entry into Bangladesh have been extended to cover all inbound travellers in a bid to prevent a deadly coronavirus from spreading.,"The Institute of Epidemiology, Disease Control and Research or IEDCR, the  government’s disease wing, announced the move at a media briefing on Saturday. Previously, only travellers arriving in the country from China were required to undergo screening tests. But the virus has killed over 700 people since its outbreak in China's Wuhan late last year and cases have since been confirmed in 25 countries around the world. Meerjady Sabrina Flora, the director of IEDCR, said all planes arriving at airports in the country are being screened in an effort to stem the virus as it can be transmitted from one person to another.""It would have been enough to screen passengers arriving from China and a few other countries. But we have expanded the measure to cover travellers on all flights as an extra precaution.""The new screening procedure came into effect on Friday and is set to continue until further notice, according to Flora.On whether Bangladesh has the capacity to conduct screening at all ports of entry, Flora said: ""We are working collaboratively with different airlines. They are helping distribute health declaration forms inflight. Their assistance is very important.""""We are supplying handheld scanners to ports that don't have thermal scanners. Both handheld and thermal scanners work in the same way.""Aside from undergoing thermal screening, air travellers are also required to fill in health cards at airports.Travellers found with body temperatures higher than 100 degrees Fahrenheit are initially being kept in an observation room at the airport and later transferred to Kurmitola Hospital if necessary.Passengers coming into the country from China are being asked to contact the IEDCR if they suffer from fever within 14 days from arrival.As many as 8,484 people have undergone screenings as of Saturday, according to the IEDCR. But despite running tests on 53 people, the authorities are yet to detect a case of the virus in the country."
Migrant worker in Singapore is first Bangladeshi coronavirus patient,10 February 2020 12:37 AM,A Bangladeshi migrant worker is among the 43 coronavirus cases confirmed in Singapore.,"The 39-year-old Bangladeshi work pass holder was warded in an isolation room at the National Centre for Infectious Diseases or NCID, the Singapore Ministry of Health said. His symptoms surfaced on Feb 1, he went to a general practitioner clinic on Feb 3, and Changi General Hospital on Feb 5, according to The Straits Times. He was admitted to the intensive care unit at Changi Hospital after a follow-up appointment at Bedok Polyclinic on Feb 7, the newspaper said. He was confirmed to have the disease on Saturday afternoon, and was then transferred to the NCID. Before being hospitalised, he had visited Mustafa Centre in Little India, and stayed at The Leo dormitory in Kaki Bukit, according to the report. He is the first Bangladeshi to have been diagnosed with the disease that has killed more than 800 people in China surpassing the deaths in the 2002-03 Severe Acute Respiratory Syndrome or SARS. Bangladesh has brought back 312 of its nationals from China’s Wuhan, the heart of the deadly outbreak. The government has also scrapped its plans to evacuate 172 others from the locked down Chinese cities due to the authorities’ failure to arrange any flight amid the coronavirus scare. But none of the Bangladeshis in or from China have tested positive. Over two dozen countries outside China have confirmed a total of 288 coronavirus cases, including the 43 in Singapore, according to the World Health Organization. Around 130,000 Bangladeshis live in the island state, according to estimates. MJH Jabed, the director general for Southeast Asia at the foreign ministry, advised the expatriate Bangladeshis in Singapore to stay alert about coronavirus and contact the Bangladesh high commission there if necessary. He said he had talked to the high commissioner in the evening, but did not have any word on the Bangladeshi coronavirus patient."
China returnee transferred to Dhaka from Rangpur shows no coronavirus symptom: IEDCR,11 February 2020 09:35 PM,"The man quarantined in Dhaka from a Rangpur hospital has not shown any symptom of a new coronavirus after returning from China where the disease has killed more than 1,000 people.","The 30-year-old Bangladeshi student was kept in isolation at a hospital in the capital as part of precaution, Meerjady Sabrina Flora, the director of the government’s disease control wing IEDCR told a news conference on Tuesday. The student was admitted to the Rangpur Medical College Hospital’s Corona Unit after he landed in Dhaka from China on Sunday.  Prof Meerjady Sabrina Flora, the director of IEDCR, giving updates at a media briefing on Wednesday on the health condition of Bangladeshis evacuated from China amid a coronavirus outbreak. Photo: Asif Mahmud Ove  The patient has improved under intensive care but was feeling pain in his legs, according to the IEDCR chief. “He is doing better and may return home very soon,” she said. The IEDCR was waiting for results of coronavirus tests on the patient for confirmation, she added. Previously, another China returnee was admitted to Rangpur Medical College Hospital. But the patient did not show any symptoms of coronavirus, according to the IEDCR."
Singapore confirms second Bangladeshi coronavirus patient,12 February 2020 12:59 AM,Singapore has confirmed another Bangladeshi coronavirus case among a total of 47 patients.,"The 39-year-old had worked at Seletar Aerospace Heights, the same location where another Bangladeshi was found to have the virus, The Straits Times reported citing the Ministry of Health on Tuesday. Both did not share the same premises, according to the report. Singapore reported two more coronavirus cases, including the Bangladeshi, on Tuesday. The other new coronavirus patient is a 35-year-old Singaporean permanent resident living in Johor Baru, who works at the Resorts World Sentosa casino, The Straits Times said. Neither of them had travelled to China, where the death toll in the epidemic has crossed 1,000. Seven of the patients still in hospital remain in critical condition and in the intensive care unit, the newspaper said quoting the ministry. Nine others have been released after recovery. The latest Bangladeshi national to have been infected by the virus is a Singapore work permit holder. He reported symptoms on Feb 6, went to the general practitioner the next day, and to the National Centre for Infectious Diseases on Monday. Before being admitted to hospital, he had stayed at his rental apartment in Veerasamy Road. He worked in the same location as 39-year-old Bangladeshi national, who had visited Mustafa Centre in Little India before being hospitalised, and who stayed at The Leo dormitory in Kaki Bukit. The ministry said that it has identified 1,124 close contacts as of noon on Tuesday. Of the 1,021 who are still in Singapore, 989 have been contacted and are being quarantined or isolated. Efforts are ongoing to contact the remaining 32 close contacts. Several clusters of patients believed to have been infected via local transmissions have emerged since the first case of coronavirus in Singapore was confirmed on Jan 23. Malaysia, South Korea and Britain have reported patients who are believed to have contracted the virus at an international business conference at Grand Hyatt Singapore hotel from Jan 20 to 22, attended by more than 100 people. The World Health Organization has said that it is working with health ministries of related countries to investigate the incident. Singapore raised its disease outbreak response level to orange on Feb 7 as the coronavirus spread further within the country, with more new cases of unknown origin found."
Bangladesh woman dies of heart attack on rumours son has coronavirus infection,13 February 2020 01:45 AM,A woman has died in Satkhira of heart attack reportedly after she panicked on rumours that her son has been diagnosed with coronavirus on return from India.,"Renuka Roptan, 56, a resident of Patakhali village under Padmapukur union of Shyamnagar Upazila, died on Tuesday night. Her son Ratan Roptan, 35, had recently gone to India to visit their relatives. The health workers at Bhomra Land Port sent him to the Satkhira General Hospital for tests after finding that he was suffering from fever and cold when he returned on Monday. Ratan returned home after giving blood sample for the tests. Later, the local officials of the Directorate General of Health Services looked for him, Padmapukur Union Council Chairman Ataur Rahman said. The officials also called Ataur to confirm the location of Ratan, he said. Meanwhile, rumours spread in the area that Ratan “will be killed as he is diagnosed with coronavirus”, Ataur said. “His mother Renuka panicked when she heard about them. She died after complaining of chest pain in the night,” the union council chairman added. The woman died of a heart attack after panicking because office the rumours spread by locals, Satkhira Civil Surgeon Husain Shafayat said. Ajoy Saha, the health and family planning officer at the Shyamnagar Upazila Health Complex, said Ratan was taken to the Satkhira General Hospital on suspicion that he had contacted coronavirus, but he had fled. “Later the health directorate searched for him. Meanwhile, his mother died of a heart attack due to the rumours. It’s very unfortunate,” he said. Both Shafayat and Ajoy confirmed that Ratan tested coronavirus negative."
Bangladesh screening Maitree Express passengers from India amid coronavirus scare,13 February 2020 02:31 AM,The Directorate General of Health Services is screening the passengers of Maitree Express train that runs on Dhaka-Kolkata route in a precautionary move amid a global outbreak of coronavirus.,"The train passengers from India are undergoing screening at Cantonment Railway Station in Dhaka from Tuesday after similar measures have been taken at airports, land ports and maritime ports, said Meerjady Sabrina Flora, the director of the Institute of Epidemiology, Disease Control and Research in a press conference on Wednesday. Though the train crosses Benapole Station, no passenger gets down there. The Maitree Express runs between Dhaka and Kolkata five days a week. The train leaves Dhaka on Tuesday, Wednesday, Friday, Saturday and Sunday. It leaves Kolkata on Monday, Tuesday, Wednesday, Friday and Saturday. The health workers did not find any coronavirus patient among the passengers who have undergone screening on return from China. Two Bangladeshis infected with the virus have been hospitalised in Singapore. One of them came in contact with 19 people who were also quarantined. As many as 10 of them were Bangladeshis, Flora said. The government of Singapore will pay for their treatment bill, she said. The new coronavirus since its outbreak in Wuhan, China has killed more than 1,100 people in the country where the number of total infected people has crossed 45,000. It will take 18 more months to get a vaccine for the new coronavirus officially called COVID-19, Tedros Adhanom, the director general of World Health Organization, said at a press conference in Geneva on Tuesday. Flora also noted that it would take quite some time to get the vaccine. Awareness, personal hygiene and discipline are the best ways to prevent the disease, she said. All the 312 Bangladeshis, who were quarantined at the Ashkona Hajj Camp after evacuation from Wuhan, were doing well, she said. They will be kept there until Feb 15. The procedure to release them from there has not been confirmed."
Two more Bangladesh nationals infected with coronavirus in Singapore,13 February 2020 07:57 PM,"Another two Bangladeshi migrant workers in Singapore have been infected with coronavirus, bringing the number of patients from the South Asian nation in the island state to four.","The two new Bangladeshi patients, aged 30 and 37, are linked to a worksite in Seletar Aerospace Heights, The Straits Times reported on Thursday. The worksite is now linked to a cluster of four cases, all of whom are Bangladesh nationals. They are among total 58 coronavirus patients in Singapore, including eight new cases. None of the new cases has recent travel history to China, according to the report. They are all currently warded in isolation rooms at the National Centre for Infectious Diseases, it added. One of the Bangladeshis confirmed to be infected on Thursday fell ill on Feb 7. He reported that he had mostly stayed in his rental apartment in Campbell Lane since he fell sick. The 37-year-old was identified as a close contact of the two previously identified Bangladeshi work pass holders, who both worked at the Seletar Aerospaces Heights worksite. Earlier, the authorities in Bangladesh said the Singapore government would carry the cost of treatment of the coronavirus patients there."
Hasina sends condolences to Xi for coronavirus deaths in China,13 February 2020 09:52 PM,"Prime Minister Sheikh Hasina has offered her condolences to Chinese President Xi Jinping for the loss of over 1,350 lives to a coronavirus outbreak.","In a message to Xi on Thursday, she also expressed sympathy for the families of the victims. “It is my firm conviction that the government of China, under your great leadership, will be able to face and stop the aggravation of the situation with utmost capacity and control,” she said. “Establishing a taskforce and building emergency hospitals to address the crisis is timely and praise-worthy,” Hasina added. She also told Xi that her government was ready to extend any help to mitigate the plight of the victims. She thanked the Chinese leadership for taking care of a good number of Bangladeshi citizens living in China “at this tragic moment”. She appreciated that China has become a global model of development under Xi’s “dynamic leadership”. “Your contributions to the international arena, in Asia in particular, are truly appreciable,” Hasina said. She renewed her invitation to the Chinese president to join the inauguration ceremony of Bangabandhu’s birth centenary celebrations on Mar 17."
